Language,Average Stars
Astro,"344,0"
Blade,"174,0"
C,"8529,0"
C#,"1952,0"
C++,"29730,0"
CSS,"1872,5714285714287"
Clojure,"5421,0"
CoffeeScript,"3492,0"
Dart,"6240,0"
EJS,"910,6666666666666"
Elixir,"3117,0"
Elm,"923,0"
Go,"9413,5"
HTML,"2845,6739130434785"
Handlebars,"1386,25"
Haxe,"160,0"
Java,"2389,0"
JavaScript,"2582,635135135135"
Jupyter Notebook,"1053,5"
Kotlin,"207,5"
Less,"14606,0"
Liquid,"115,0"
MDX,"10344,6"
Nunjucks,"250,66666666666666"
Objective-C,"283,4"
Objective-C++,"851,0"
PHP,"2614,3636363636365"
PureScript,"799,0"
Python,"17419,53846153846"
Riot,"2497,0"
Ruby,"414,3333333333333"
Rust,"5261,0"
SCSS,"1836,0625"
Scala,"16542,0"
Shell,"20546,0"
Solidity,"833,0"
Svelte,"4501,333333333333"
Swift,"3930,25"
Twig,"293,0"
TypeScript,"4562,6827411167515"
Vue,"4780,222222222223"
