Language,Average Stars
C++,"5753,20652173913"
Go,"5694,698795180723"
Rust,"5491,448979591837"
Jupyter Notebook,"4768,081632653061"
Python,"4672,3236245954695"
TypeScript,"4394,994897959184"
Shell,"4147,878787878788"
HTML,"3776,2413793103447"
C,"3257,787878787879"
Java,"3178,3867924528304"
Swift,"3134,6511627906975"
JavaScript,"3103,701342281879"
Kotlin,"2919,787878787879"
PHP,"2262,3333333333335"
C#,"2045,7662337662337"
